,count,mean,std,min,25%,50%,75%,max
Cash_Current Liability,6819.0,37159994.14713333,510350903.16273266,0.0,0.0019730075415488497,0.0049038864700734,0.0128055731079178,9650000000.0
Current Liability to Assets,6819.0,0.0906727945676238,0.05028985666891828,0.0,0.0533012764320206,0.0827047949822228,0.1195229934695275,1.0
Operating Funds to Liability,6819.0,0.35382800412158655,0.03514718417918804,0.0,0.34102297735578047,0.348596657106137,0.3609148870133705,1.0
Inventory_Working Capital,6819.0,0.27739510610233165,0.010468846972945246,0.0,0.2770339694810945,0.277177699032242,0.2774287054274715,1.0
Inventory_Current Liability,6819.0,55806804.52577957,582051554.6194199,0.0,0.0031631476746991002,0.0064973353534734,0.011146766748190151,9910000000.0
Current Liabilities_Liability,6819.0,0.7615988775853332,0.20667676768344168,0.0,0.6269807662218725,0.806881404713333,0.942026693700069,1.0
Working Capital_Equity,6819.0,0.7358165257322183,0.011678026475599065,0.0,0.733611818564342,0.736012732265696,0.738559910578823,1.0
Current Liabilities_Equity,6819.0,0.3314098006169883,0.013488027908897839,0.0,0.328095841686878,0.329685133135929,0.332322404809702,1.0
Long_term Liability to Current Assets,6819.0,54160038.13589435,570270621.9592273,0.0,0.0,0.0019746187761809,0.009005945944256601,9540000000.0
Retained Earnings to Total Assets,6819.0,0.9347327541270043,0.025564221690643096,0.0,0.9310965081459854,0.937672322031461,0.9448112860939986,1.0
Total income_Total expense,6819.0,0.002548945567386416,0.01209281469621801,0.0,0.0022355962096577498,0.0023361709310448,0.0024918511193838,1.0
Total expense_Assets,6819.0,0.02918409925586063,0.02714877679286157,0.0,0.01456705658927065,0.0226739487842648,0.035930137895265155,1.0
Current Asset Turnover Rate,6819.0,1195855763.3089354,2821161238.2624574,0.0,0.00014562362973865,0.0001987815566631,0.0004525945407579,10000000000.0
Quick Asset Turnover Rate,6819.0,2163735272.034426,3374944402.1661186,0.0,0.00014171486236355001,0.0002247727878357,4900000000.0,10000000000.0
Working capitcal Turnover Rate,6819.0,0.5940062655659163,0.008959384178922208,0.0,0.5939344215587965,0.593962767104877,0.5940023454696105,1.0
Cash Turnover Rate,6819.0,2471976967.4443183,2938623226.6788096,0.0,0.0002735337396781,1080000000.0,4510000000.0,10000000000.0
Cash Flow to Sales,6819.0,0.6715307810992098,0.009341345618300599,0.0,0.671565259253275,0.671573958092574,0.671586580417158,1.0
Fixed Assets to Assets,6819.0,1220120.5015895537,100754158.71316805,0.0,0.0853603651897917,0.196881048224411,0.3721999782647555,8320000000.0
Current Liability to Liability,6819.0,0.7615988775853332,0.20667676768344168,0.0,0.6269807662218725,0.806881404713333,0.942026693700069,1.0
Current Liability to Equity,6819.0,0.3314098006169883,0.013488027908897839,0.0,0.328095841686878,0.329685133135929,0.332322404809702,1.0
Equity to Long_term Liability,6819.0,0.11564465149636942,0.019529176275314322,0.0,0.110933233663468,0.112340004024972,0.117106091075626,1.0
Cash Flow to Total Assets,6819.0,0.6497305901792364,0.04737213191450499,0.0,0.633265319013864,0.645366460270721,0.6630618534616091,1.0
Cash Flow to Liability,6819.0,0.4618492532922571,0.0299426803452448,0.0,0.4571164765642225,0.459750137932885,0.46423584697152853,1.0
CFO to Assets,6819.0,0.5934150861096207,0.05856055014224861,0.0,0.5659869401753586,0.593266274083544,0.6247688757833555,1.0
Cash Flow to Equity,6819.0,0.3155823898995751,0.012960892401647255,0.0,0.312994699600273,0.314952752072916,0.317707188742567,1.0
Current Liability to Current Assets,6819.0,0.031506365747440736,0.03084468845356384,0.0,0.018033665707965,0.0275971428517009,0.0383746158541899,1.0
Liability_Assets Flag,6819.0,0.001173192550227306,0.03423431086529933,0.0,0.0,0.0,0.0,1.0
Net Income to Total Assets,6819.0,0.8077602200365486,0.040332191531426184,0.0,0.7967498491931705,0.810619042075101,0.8264545295408715,1.0
Total assets to GNP price,6819.0,18629417.81183602,376450059.74582857,0.0,0.0009036204813306,0.0020852127088157,0.0052697768568805,9820000000.0
No_credit Interval,6819.0,0.623914574767534,0.012289548007412275,0.0,0.623636304973909,0.623879225987712,0.6241681927893561,1.0
Gross Profit to Sales,6819.0,0.607946340270717,0.016933807795673626,0.0,0.6004428952063054,0.605998288167218,0.613913271038147,1.0
Net Income to Stockholder_s Equity,6819.0,0.8404020646301004,0.014522526082524972,0.0,0.8401148040637195,0.841178760250192,0.8423569700412374,1.0
Liability to Equity,6819.0,0.2803651538333931,0.014463223575594016,0.0,0.276944242646329,0.278777583629637,0.2814491856088265,1.0
Degree of Financial Leverage _DFL_,6819.0,0.027541119421203634,0.01566794186642957,0.0,0.0267911566924924,0.0268081258982465,0.026913184214613348,1.0
Interest Coverage Ratio _Interest expense to EBIT_,6819.0,0.5653579335465574,0.013214239761962015,0.0,0.565158395757604,0.565251928758969,0.565724709506105,1.0
Net Income Flag,6819.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Equity to Liability,6819.0,0.047578356529497656,0.05001371618013793,0.0,0.024476693570910098,0.0337976972031022,0.052837817459331596,1.0
class,43405.0,0.04817417348231771,0.21413658941138142,0.0,0.0,0.0,0.0,1.0
